export_envelope
scenario_id;BASE;plan_id;final-candidate;case_version;698addcac211e6ef;engine_version;kriokontur-engine/0.2.0;created_at;2026-09-20T06:21:46+00:00
units;"тонны; млн условных денежных единиц в постоянных ценах 2035 года"

assumptions
name;value
discount_rate;0.0800
discount_base_year;2035
timestep;month
emergency_lead_steps;2
earth_new_prep_months;18
isru_commissioning_lag_months;2
opening_stock_source;A
reserve_ramp_months;9
reserve_safety_factor;1.1500
emergency_base_share_threshold;0.1000
storage_commissioning_lag_months;0
emergency_batch_t;
dispatch_mode;reactive

yearly_balance
year;demand_total_t;demand_critical_t;opening_t;delivered_t;losses_t;served_t;served_critical_t;shortage_t;closing_t;capacity_t;reserve_required_t;sl_total;sl_critical;loss_share;overflow_t;avg_stock_t;unused_paid_t
2035;100.0000;80.0000;13.6000;111.2558;5.0065;100.0000;80.0000;0.0000;19.8493;70.0000;12.3288;1.0000;1.0000;0.0450;0.0000;20.7078;0.0000
2036;140.0000;105.0000;19.8493;148.8755;1.7865;140.0000;105.0000;0.0000;26.9384;120.0000;17.2603;1.0000;1.0000;0.0120;0.0000;28.6364;0.0000
2037;190.0000;135.0000;26.9384;200.9179;2.4110;190.0000;135.0000;0.0000;35.4452;120.0000;23.4247;1.0000;1.0000;0.0120;0.0000;38.3995;0.0000
2038;250.0000;170.0000;35.4452;263.0816;3.1570;250.0000;170.0000;0.0000;45.3699;120.0000;30.8219;1.0000;1.0000;0.0120;0.0000;49.9971;0.0000
2039;320.0000;210.0000;45.3699;333.9318;4.0072;320.0000;210.0000;0.0000;55.2945;120.0000;39.4521;1.0000;1.0000;0.0120;0.0000;62.8385;0.0000
2040;390.0000;250.0000;55.2945;394.7368;4.7368;390.0000;250.0000;0.0000;55.2945;120.0000;48.0822;1.0000;1.0000;0.0120;0.0000;71.5445;0.0000

source_schedule
year;source_id;source_name;reserved_t_per_year;ordered_t;delivered_t;payable_t;variable_payment_mln;reservation_payment_mln;contracted_t;unused_paid_t;price_mln_per_t
2035;A;Earth-Core;120.9000;111.2558;111.2558;111.2558;689.7861;54.4050;120.9000;0.0000;6.2000
2035;B;Earth-Flex;11.0000;0.0000;0.0000;0.0000;0.0000;1.6500;11.0000;0.0000;8.9000
2035;C;Earth-New;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;7.1000
2035;D;Lunar-ISRU;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3.0000
2035;E;Emergency;13.6000;0.0000;0.0000;0.0000;0.0000;4.7600;13.6000;0.0000;13.8000
2036;A;Earth-Core;162.7000;148.8755;148.8755;148.8755;923.0284;73.2150;162.7000;0.0000;6.2000
2036;B;Earth-Flex;15.4000;0.0000;0.0000;0.0000;0.0000;2.3100;15.4000;0.0000;8.9000
2036;C;Earth-New;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;7.1000
2036;D;Lunar-ISRU;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3.0000
2036;E;Emergency;19.0000;0.0000;0.0000;0.0000;0.0000;6.6500;19.0000;0.0000;13.8000
2037;A;Earth-Core;190.0000;166.4679;166.4679;166.4679;1032.1008;85.5000;190.0000;0.0000;6.2000
2037;B;Earth-Flex;110.0000;0.0000;0.0000;0.0000;0.0000;16.5000;110.0000;0.0000;8.9000
2037;C;Earth-New;68.9000;34.4500;34.4500;34.4500;244.5950;20.6700;68.9000;0.0000;7.1000
2037;D;Lunar-ISRU;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3.0000
2037;E;Emergency;60.0000;0.0000;0.0000;0.0000;0.0000;21.0000;60.0000;0.0000;13.8000
2038;A;Earth-Core;190.0000;189.5091;189.5091;189.5091;1174.9565;85.5000;190.0000;0.0000;6.2000
2038;B;Earth-Flex;38.5000;0.0000;0.0000;0.0000;0.0000;5.7750;38.5000;0.0000;8.9000
2038;C;Earth-New;130.0000;73.5725;73.5725;73.5725;522.3649;39.0000;130.0000;0.0000;7.1000
2038;D;Lunar-ISRU;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3.0000
2038;E;Emergency;38.5000;0.0000;0.0000;0.0000;0.0000;13.4750;38.5000;0.0000;13.8000
2039;A;Earth-Core;190.0000;190.0000;190.0000;190.0000;1178.0000;85.5000;190.0000;0.0000;6.2000
2039;B;Earth-Flex;110.0000;13.9318;13.9318;13.9318;123.9934;16.5000;110.0000;0.0000;8.9000
2039;C;Earth-New;130.0000;130.0000;130.0000;130.0000;923.0000;39.0000;130.0000;0.0000;7.1000
2039;D;Lunar-ISRU;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3.0000
2039;E;Emergency;49.3000;0.0000;0.0000;0.0000;0.0000;17.2550;49.3000;0.0000;13.8000
2040;A;Earth-Core;190.0000;190.0000;190.0000;190.0000;1178.0000;85.5000;190.0000;0.0000;6.2000
2040;B;Earth-Flex;110.0000;74.7368;74.7368;74.7368;665.1579;16.5000;110.0000;0.0000;8.9000
2040;C;Earth-New;130.0000;130.0000;130.0000;130.0000;923.0000;39.0000;130.0000;0.0000;7.1000
2040;D;Lunar-ISRU;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3.0000
2040;E;Emergency;60.1000;0.0000;0.0000;0.0000;0.0000;21.0350;60.1000;0.0000;13.8000

financial_breakdown
year;procurement_mln;reservation_mln;holding_mln;fixed_opex_mln;capex_mln;total_mln;discounted_mln
2035;774.1061;60.8150;14.9096;0.0000;360.0000;1209.8307;1209.8307
2036;923.0284;82.1750;20.6182;12.0000;180.0000;1217.8216;1127.6126
2037;1276.6958;143.6700;27.6477;12.0000;0.0000;1460.0134;1251.7262
2038;1697.3214;143.7500;35.9979;12.0000;0.0000;1889.0694;1499.6042
2039;2224.9934;158.2550;45.2437;12.0000;0.0000;2440.4921;1793.8345
2040;2766.1579;162.0350;51.5121;12.0000;0.0000;2991.7049;2036.1041
итого;9662.3030;750.7000;195.9292;60.0000;540.0000;11208.9322;8918.7123

inventory_trace
month_index;year;month;opening_t;gross_t;losses_t;served_t;shortage_t;closing_t;capacity_t;target_t;overflow_t;avg_stock_t
55;2039;8;49.7808;28.1067;0.3373;26.6667;0.0000;50.8836;120.0000;50.8836;0.0000;64.2169
56;2039;9;50.8836;28.1067;0.3373;26.6667;0.0000;51.9863;120.0000;51.9863;0.0000;65.3196
57;2039;10;51.9863;28.1067;0.3373;26.6667;0.0000;53.0890;120.0000;53.0890;0.0000;66.4224
58;2039;11;53.0890;28.1067;0.3373;26.6667;0.0000;54.1918;120.0000;54.1918;0.0000;67.5251
59;2039;12;54.1918;28.1067;0.3373;26.6667;0.0000;55.2945;120.0000;55.2945;0.0000;68.6279
60;2040;1;55.2945;32.8947;0.3947;32.5000;0.0000;55.2945;120.0000;55.2945;0.0000;71.5445
61;2040;2;55.2945;32.8947;0.3947;32.5000;0.0000;55.2945;120.0000;55.2945;0.0000;71.5445
62;2040;3;55.2945;32.8947;0.3947;32.5000;0.0000;55.2945;120.0000;55.2945;0.0000;71.5445
63;2040;4;55.2945;32.8947;0.3947;32.5000;0.0000;55.2945;120.0000;55.2945;0.0000;71.5445
64;2040;5;55.2945;32.8947;0.3947;32.5000;0.0000;55.2945;120.0000;55.2945;0.0000;71.5445
65;2040;6;55.2945;32.8947;0.3947;32.5000;0.0000;55.2945;120.0000;55.2945;0.0000;71.5445
66;2040;7;55.2945;32.8947;0.3947;32.5000;0.0000;55.2945;120.0000;55.2945;0.0000;71.5445
67;2040;8;55.2945;32.8947;0.3947;32.5000;0.0000;55.2945;120.0000;55.2945;0.0000;71.5445
68;2040;9;55.2945;32.8947;0.3947;32.5000;0.0000;55.2945;120.0000;55.2945;0.0000;71.5445
69;2040;10;55.2945;32.8947;0.3947;32.5000;0.0000;55.2945;120.0000;55.2945;0.0000;71.5445
70;2040;11;55.2945;32.8947;0.3947;32.5000;0.0000;55.2945;120.0000;55.2945;0.0000;71.5445
71;2040;12;55.2945;32.8947;0.3947;32.5000;0.0000;55.2945;120.0000;55.2945;0.0000;71.5445

constraint_checks
code;severity;period;metric;value;limit;excess;message
OK;info;;;;;;Нарушений не найдено

input_data
block;key;field;value
case;version;sha256_16;698addcac211e6ef
demand;2035;base_total_t;100.0000
demand;2035;base_critical_t;80.0000
demand;2035;low_total_t;80.0000
demand;2035;high_total_t;110.0000
demand;2036;base_total_t;140.0000
demand;2036;base_critical_t;105.0000
demand;2036;low_total_t;112.0000
demand;2036;high_total_t;154.0000
demand;2037;base_total_t;190.0000
demand;2037;base_critical_t;135.0000
demand;2037;low_total_t;152.0000
demand;2037;high_total_t;209.0000
demand;2038;base_total_t;250.0000
demand;2038;base_critical_t;170.0000
demand;2038;low_total_t;200.0000
demand;2038;high_total_t;312.5000
demand;2039;base_total_t;320.0000
demand;2039;base_critical_t;210.0000
demand;2039;low_total_t;256.0000
demand;2039;high_total_t;400.0000
demand;2040;base_total_t;390.0000
demand;2040;base_critical_t;250.0000
demand;2040;low_total_t;312.0000
demand;2040;high_total_t;487.5000
source;A;source_id;A
source;A;name;Earth-Core
source;A;capacity_t_per_year;190.0000
source;A;variable_cost_mln_per_t;6.2000
source;A;reservation_rate;0.4500
source;A;take_or_pay_share;0.7000
source;A;lead_time_min;12.0000
source;A;lead_time_max;12.0000
source;A;lead_time_unit;month
source;A;reliability_profile;constant:0.96
source;A;available_from_year;2035
source;A;notes;long-term Earth-to-orbit channel
source;B;source_id;B
source;B;name;Earth-Flex
source;B;capacity_t_per_year;110.0000
source;B;variable_cost_mln_per_t;8.9000
source;B;reservation_rate;0.1500
source;B;take_or_pay_share;0.0000
source;B;lead_time_min;4.0000
source;B;lead_time_max;4.0000
source;B;lead_time_unit;month
source;B;reliability_profile;constant:0.985
source;B;available_from_year;2035
source;B;notes;flexible Earth-to-orbit channel
source;C;source_id;C
source;C;name;Earth-New
source;C;capacity_t_per_year;130.0000
source;C;variable_cost_mln_per_t;7.1000
source;C;reservation_rate;0.3000
source;C;take_or_pay_share;0.5000
source;C;lead_time_min;18.0000
source;C;lead_time_max;24.0000
source;C;lead_time_unit;month
source;C;reliability_profile;"first_operating_year:0.88;later:0.94"
source;C;available_from_year;
source;C;notes;capacity available only after option exercise and preparation
source;D;source_id;D
source;D;name;Lunar-ISRU
source;D;capacity_t_per_year;120.0000
source;D;variable_cost_mln_per_t;3.0000
source;D;reservation_rate;0.0000
source;D;take_or_pay_share;0.0000
source;D;lead_time_min;1.0000
source;D;lead_time_max;2.0000
source;D;lead_time_unit;month
source;D;reliability_profile;"2038:0.78;2039:0.90;2040:0.93"
source;D;available_from_year;2038
source;D;notes;available after required CAPEX financing and commissioning
source;E;source_id;E
source;E;name;Emergency
source;E;capacity_t_per_year;80.0000
source;E;variable_cost_mln_per_t;13.8000
source;E;reservation_rate;0.3500
source;E;take_or_pay_share;0.0000
source;E;lead_time_min;6.0000
source;E;lead_time_max;6.0000
source;E;lead_time_unit;week
source;E;reliability_profile;constant:0.995
source;E;available_from_year;2035
source;E;notes;authoritative organizer lead time is six weeks
storage;BASE;storage_id;BASE
storage;BASE;name;Base storage
storage;BASE;capacity_t;70.0000
storage;BASE;loss_rate_on_throughput;0.0450
storage;BASE;holding_cost_mln_per_t_year;0.7200
storage;BASE;capex_mln;0.0000
storage;BASE;fixed_opex_mln_per_year;0.0000
storage;BASE;available_from_year;2035
storage;ZBO;storage_id;ZBO
storage;ZBO;name;ZBO modernization
storage;ZBO;capacity_t;120.0000
storage;ZBO;loss_rate_on_throughput;0.0120
storage;ZBO;holding_cost_mln_per_t_year;0.7200
storage;ZBO;capex_mln;180.0000
storage;ZBO;fixed_opex_mln_per_year;12.0000
storage;ZBO;available_from_year;2036
investment;EARTH_NEW;investment_id;EARTH_NEW
investment;EARTH_NEW;name;Earth-New option
investment;EARTH_NEW;option_fee_mln;90.0000
investment;EARTH_NEW;exercise_cost_mln;270.0000
investment;EARTH_NEW;total_capex_mln;360.0000
investment;EARTH_NEW;commissioning_rule;18-24 months after exercise/preparation decision
investment;EARTH_NEW;fixed_opex_mln_per_year;0.0000
investment;LUNAR_ISRU;investment_id;LUNAR_ISRU
investment;LUNAR_ISRU;name;Lunar-ISRU pilot
investment;LUNAR_ISRU;option_fee_mln;0.0000
investment;LUNAR_ISRU;exercise_cost_mln;1250.0000
