export_envelope
scenario_id;MANDATORY_STRESS;plan_id;final-candidate;case_version;698addcac211e6ef;engine_version;kriokontur-engine/0.2.0;created_at;2026-09-20T06:21:46+00:00
units;"тонны; млн условных денежных единиц в постоянных ценах 2035 года"

assumptions
name;value
discount_rate;0.0800
discount_base_year;2035
timestep;month
emergency_lead_steps;2
earth_new_prep_months;18
isru_commissioning_lag_months;2
opening_stock_source;A
reserve_ramp_months;9
reserve_safety_factor;1.1500
emergency_base_share_threshold;0.1000
storage_commissioning_lag_months;0
emergency_batch_t;
dispatch_mode;reactive

yearly_balance
year;demand_total_t;demand_critical_t;opening_t;delivered_t;losses_t;served_t;served_critical_t;shortage_t;closing_t;capacity_t;reserve_required_t;sl_total;sl_critical;loss_share;overflow_t;avg_stock_t;unused_paid_t
2035;100.0000;80.0000;13.6000;111.2558;5.0065;100.0000;80.0000;0.0000;19.8493;70.0000;12.3288;1.0000;1.0000;0.0450;0.0000;20.7078;0.0000
2036;140.0000;105.0000;19.8493;148.8755;1.7865;140.0000;105.0000;0.0000;26.9384;120.0000;17.2603;1.0000;1.0000;0.0120;0.0000;28.6364;0.0000
2037;190.0000;135.0000;26.9384;206.2992;2.4756;190.0000;135.0000;0.0000;40.7620;120.0000;23.4247;1.0000;1.0000;0.0120;0.0000;40.6149;0.0000
2038;287.5000;195.5000;40.7620;302.5439;3.6305;287.5000;195.5000;0.0000;52.1753;120.0000;35.4452;1.0000;1.0000;0.0120;0.0000;57.4967;0.0000
2039;368.0000;241.5000;52.1753;384.0216;4.6083;368.0000;241.5000;0.0000;63.5887;120.0000;45.3699;1.0000;1.0000;0.0120;0.0000;72.2642;0.0000
2040;448.5000;287.5000;63.5887;430.0000;5.1600;448.5000;287.5000;0.0000;39.9287;120.0000;55.2945;1.0000;1.0000;0.0120;0.0000;69.4604;0.0000

source_schedule
year;source_id;source_name;reserved_t_per_year;ordered_t;delivered_t;payable_t;variable_payment_mln;reservation_payment_mln;contracted_t;unused_paid_t;price_mln_per_t
2035;A;Earth-Core;120.9000;111.2558;111.2558;111.2558;689.7861;54.4050;120.9000;0.0000;6.2000
2035;B;Earth-Flex;11.0000;0.0000;0.0000;0.0000;0.0000;1.6500;11.0000;0.0000;8.9000
2035;C;Earth-New;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;7.1000
2035;D;Lunar-ISRU;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3.0000
2035;E;Emergency;13.6000;0.0000;0.0000;0.0000;0.0000;4.7600;13.6000;0.0000;13.8000
2036;A;Earth-Core;162.7000;148.8755;148.8755;148.8755;923.0284;73.2150;162.7000;0.0000;6.2000
2036;B;Earth-Flex;15.4000;0.0000;0.0000;0.0000;0.0000;2.3100;15.4000;0.0000;8.9000
2036;C;Earth-New;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;7.1000
2036;D;Lunar-ISRU;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3.0000
2036;E;Emergency;19.0000;0.0000;0.0000;0.0000;0.0000;6.6500;19.0000;0.0000;13.8000
2037;A;Earth-Core;190.0000;171.8492;171.8492;171.8492;1065.4652;85.5000;190.0000;0.0000;6.2000
2037;B;Earth-Flex;110.0000;0.0000;0.0000;0.0000;0.0000;16.5000;110.0000;0.0000;8.9000
2037;C;Earth-New;68.9000;34.4500;34.4500;34.4500;244.5950;20.6700;68.9000;0.0000;7.1000
2037;D;Lunar-ISRU;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3.0000
2037;E;Emergency;60.0000;0.0000;0.0000;0.0000;0.0000;21.0000;60.0000;0.0000;13.8000
2038;A;Earth-Core;190.0000;190.0000;190.0000;190.0000;1472.5000;85.5000;190.0000;0.0000;7.7500
2038;B;Earth-Flex;38.5000;0.0000;0.0000;0.0000;0.0000;5.7750;38.5000;0.0000;11.1250
2038;C;Earth-New;130.0000;112.5439;112.5439;112.5439;799.0616;39.0000;130.0000;0.0000;7.1000
2038;D;Lunar-ISRU;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3.0000
2038;E;Emergency;38.5000;0.0000;0.0000;0.0000;0.0000;13.4750;38.5000;0.0000;13.8000
2039;A;Earth-Core;190.0000;190.0000;190.0000;190.0000;1472.5000;85.5000;190.0000;0.0000;7.7500
2039;B;Earth-Flex;110.0000;64.0216;64.0216;64.0216;712.2405;16.5000;110.0000;0.0000;11.1250
2039;C;Earth-New;130.0000;130.0000;130.0000;130.0000;923.0000;39.0000;130.0000;0.0000;7.1000
2039;D;Lunar-ISRU;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3.0000
2039;E;Emergency;49.3000;0.0000;0.0000;0.0000;0.0000;17.2550;49.3000;0.0000;13.8000
2040;A;Earth-Core;190.0000;190.0000;190.0000;190.0000;1178.0000;85.5000;190.0000;0.0000;6.2000
2040;B;Earth-Flex;110.0000;110.0000;110.0000;110.0000;979.0000;16.5000;110.0000;0.0000;8.9000
2040;C;Earth-New;130.0000;130.0000;130.0000;130.0000;923.0000;39.0000;130.0000;0.0000;7.1000
2040;D;Lunar-ISRU;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3.0000
2040;E;Emergency;60.1000;0.0000;0.0000;0.0000;0.0000;21.0350;60.1000;0.0000;13.8000

financial_breakdown
year;procurement_mln;reservation_mln;holding_mln;fixed_opex_mln;capex_mln;total_mln;discounted_mln
2035;774.1061;60.8150;14.9096;0.0000;360.0000;1209.8307;1209.8307
2036;923.0284;82.1750;20.6182;12.0000;180.0000;1217.8216;1127.6126
2037;1310.0602;143.6700;29.2427;12.0000;0.0000;1494.9729;1281.6983
2038;2271.5616;143.7500;41.3976;12.0000;0.0000;2468.7092;1959.7410
2039;3107.7405;158.2550;52.0303;12.0000;0.0000;3330.0257;2447.6683
2040;3080.0000;162.0350;50.0115;12.0000;0.0000;3304.0465;2248.6785
итого;11466.4967;750.7000;208.2099;60.0000;540.0000;13025.4066;10275.2294

inventory_trace
month_index;year;month;opening_t;gross_t;losses_t;served_t;shortage_t;closing_t;capacity_t;target_t;overflow_t;avg_stock_t
55;2039;8;57.2479;32.3227;0.3879;30.6667;0.0000;58.5161;120.0000;58.5161;0.0000;73.8494
56;2039;9;58.5161;32.3227;0.3879;30.6667;0.0000;59.7842;120.0000;59.7842;0.0000;75.1176
57;2039;10;59.7842;32.3227;0.3879;30.6667;0.0000;61.0524;120.0000;61.0524;0.0000;76.3857
58;2039;11;61.0524;32.3227;0.3879;30.6667;0.0000;62.3205;120.0000;62.3205;0.0000;77.6539
59;2039;12;62.3205;32.3227;0.3879;30.6667;0.0000;63.5887;120.0000;63.5887;0.0000;78.9220
60;2040;1;63.5887;35.8333;0.4300;37.3750;0.0000;61.6170;120.0000;63.5887;0.0000;80.3045
61;2040;2;61.6170;35.8333;0.4300;37.3750;0.0000;59.6454;120.0000;63.5887;0.0000;78.3329
62;2040;3;59.6454;35.8333;0.4300;37.3750;0.0000;57.6737;120.0000;63.5887;0.0000;76.3612
63;2040;4;57.6737;35.8333;0.4300;37.3750;0.0000;55.7020;120.0000;63.5887;0.0000;74.3895
64;2040;5;55.7020;35.8333;0.4300;37.3750;0.0000;53.7304;120.0000;63.5887;0.0000;72.4179
65;2040;6;53.7304;35.8333;0.4300;37.3750;0.0000;51.7587;120.0000;63.5887;0.0000;70.4462
66;2040;7;51.7587;35.8333;0.4300;37.3750;0.0000;49.7870;120.0000;63.5887;0.0000;68.4745
67;2040;8;49.7870;35.8333;0.4300;37.3750;0.0000;47.8154;120.0000;63.5887;0.0000;66.5029
68;2040;9;47.8154;35.8333;0.4300;37.3750;0.0000;45.8437;120.0000;63.5887;0.0000;64.5312
69;2040;10;45.8437;35.8333;0.4300;37.3750;0.0000;43.8720;120.0000;63.5887;0.0000;62.5595
70;2040;11;43.8720;35.8333;0.4300;37.3750;0.0000;41.9004;120.0000;63.5887;0.0000;60.5879
71;2040;12;41.9004;35.8333;0.4300;37.3750;0.0000;39.9287;120.0000;63.5887;0.0000;58.6162

constraint_checks
code;severity;period;metric;value;limit;excess;message
OK;info;;;;;;Нарушений не найдено

input_data
block;key;field;value
case;version;sha256_16;698addcac211e6ef
demand;2035;base_total_t;100.0000
demand;2035;base_critical_t;80.0000
demand;2035;low_total_t;80.0000
demand;2035;high_total_t;110.0000
demand;2036;base_total_t;140.0000
demand;2036;base_critical_t;105.0000
demand;2036;low_total_t;112.0000
demand;2036;high_total_t;154.0000
demand;2037;base_total_t;190.0000
demand;2037;base_critical_t;135.0000
demand;2037;low_total_t;152.0000
demand;2037;high_total_t;209.0000
demand;2038;base_total_t;250.0000
demand;2038;base_critical_t;170.0000
demand;2038;low_total_t;200.0000
demand;2038;high_total_t;312.5000
demand;2039;base_total_t;320.0000
demand;2039;base_critical_t;210.0000
demand;2039;low_total_t;256.0000
demand;2039;high_total_t;400.0000
demand;2040;base_total_t;390.0000
demand;2040;base_critical_t;250.0000
demand;2040;low_total_t;312.0000
demand;2040;high_total_t;487.5000
source;A;source_id;A
source;A;name;Earth-Core
source;A;capacity_t_per_year;190.0000
source;A;variable_cost_mln_per_t;6.2000
source;A;reservation_rate;0.4500
source;A;take_or_pay_share;0.7000
source;A;lead_time_min;12.0000
source;A;lead_time_max;12.0000
source;A;lead_time_unit;month
source;A;reliability_profile;constant:0.96
source;A;available_from_year;2035
source;A;notes;long-term Earth-to-orbit channel
source;B;source_id;B
source;B;name;Earth-Flex
source;B;capacity_t_per_year;110.0000
source;B;variable_cost_mln_per_t;8.9000
source;B;reservation_rate;0.1500
source;B;take_or_pay_share;0.0000
source;B;lead_time_min;4.0000
source;B;lead_time_max;4.0000
source;B;lead_time_unit;month
source;B;reliability_profile;constant:0.985
source;B;available_from_year;2035
source;B;notes;flexible Earth-to-orbit channel
source;C;source_id;C
source;C;name;Earth-New
source;C;capacity_t_per_year;130.0000
source;C;variable_cost_mln_per_t;7.1000
source;C;reservation_rate;0.3000
source;C;take_or_pay_share;0.5000
source;C;lead_time_min;18.0000
source;C;lead_time_max;24.0000
source;C;lead_time_unit;month
source;C;reliability_profile;"first_operating_year:0.88;later:0.94"
source;C;available_from_year;
source;C;notes;capacity available only after option exercise and preparation
source;D;source_id;D
source;D;name;Lunar-ISRU
source;D;capacity_t_per_year;120.0000
source;D;variable_cost_mln_per_t;3.0000
source;D;reservation_rate;0.0000
source;D;take_or_pay_share;0.0000
source;D;lead_time_min;1.0000
source;D;lead_time_max;2.0000
source;D;lead_time_unit;month
source;D;reliability_profile;"2038:0.78;2039:0.90;2040:0.93"
source;D;available_from_year;2038
source;D;notes;available after required CAPEX financing and commissioning
source;E;source_id;E
source;E;name;Emergency
source;E;capacity_t_per_year;80.0000
source;E;variable_cost_mln_per_t;13.8000
source;E;reservation_rate;0.3500
source;E;take_or_pay_share;0.0000
source;E;lead_time_min;6.0000
source;E;lead_time_max;6.0000
source;E;lead_time_unit;week
source;E;reliability_profile;constant:0.995
source;E;available_from_year;2035
source;E;notes;authoritative organizer lead time is six weeks
storage;BASE;storage_id;BASE
storage;BASE;name;Base storage
storage;BASE;capacity_t;70.0000
storage;BASE;loss_rate_on_throughput;0.0450
storage;BASE;holding_cost_mln_per_t_year;0.7200
storage;BASE;capex_mln;0.0000
storage;BASE;fixed_opex_mln_per_year;0.0000
storage;BASE;available_from_year;2035
storage;ZBO;storage_id;ZBO
storage;ZBO;name;ZBO modernization
storage;ZBO;capacity_t;120.0000
storage;ZBO;loss_rate_on_throughput;0.0120
storage;ZBO;holding_cost_mln_per_t_year;0.7200
storage;ZBO;capex_mln;180.0000
storage;ZBO;fixed_opex_mln_per_year;12.0000
storage;ZBO;available_from_year;2036
investment;EARTH_NEW;investment_id;EARTH_NEW
investment;EARTH_NEW;name;Earth-New option
investment;EARTH_NEW;option_fee_mln;90.0000
investment;EARTH_NEW;exercise_cost_mln;270.0000
investment;EARTH_NEW;total_capex_mln;360.0000
investment;EARTH_NEW;commissioning_rule;18-24 months after exercise/preparation decision
investment;EARTH_NEW;fixed_opex_mln_per_year;0.0000
investment;LUNAR_ISRU;investment_id;LUNAR_ISRU
investment;LUNAR_ISRU;name;Lunar-ISRU pilot
investment;LUNAR_ISRU;option_fee_mln;0.0000
investment;LUNAR_ISRU;exercise_cost_mln;1250.0000
investment;LUNAR_ISRU;total_capex_mln;1250.0000
